track_id,track_name,artists,track_genre,vibe,popularity,danceability,energy,valence,tempo,acousticness,speechiness,liveness,instrumentalness,loudness,duration_min
3ANu5YBLeocDOPeDT6eBDf,El agite,Horcas,heavy-metal,Energetic & Danceable,22,0.469,0.969,0.212,123.081,9.62e-06,0.124,0.0494,0.0799,-5.982,4.323
5j4kHNz5syQBR9Jfv3hwbb,Para Que No Caigas,Ricardo Iorio,heavy-metal,Energetic & Danceable,22,0.334,0.975,0.241,145.328,0.153,0.0896,0.46,0.0522,-6.91,2.838
3fOQqFE7wkCaZqfROczgD6,Hipotecado - Remasterizado,Malon,heavy-metal,Energetic & Danceable,22,0.385,0.703,0.408,100.183,0.000207,0.0451,0.364,0.0073,-5.97,5.078
1j0MYPwvprO2AVD8O2aGyg,Cada Vez Más Pelotudos,Asspera,heavy-metal,Energetic & Danceable,22,0.457,0.989,0.514,90.052,1.57e-05,0.0787,0.26,5.47e-06,-2.723,4.061
2rLuGKahxWAWD0FzhyGEl1,Cantus,Faith And The Muse,goth,Instrumental,22,0.451,0.827,0.352,125.003,1.9e-05,0.035,0.114,0.943,-8.862,4.841
2kygPx56GjcWzwfPRJv8fF,Kunhan kruunun saan kuninkaan,Luca Vieri;Lari Halme;Mirella Roininen,disney,Energetic & Danceable,22,0.677,0.775,0.675,99.044,0.165,0.141,0.0929,9.34e-06,-5.869,3.383
2PyGdZHmYOCjYHIis4CpCC,"Poor Unfortunate Souls (from ""The Little Mermaid"") - From ""The Little Mermaid"" / Soundtrack Version",Pat Carroll;Disney,disney,Acoustic & Mellow,22,0.425,0.384,0.419,77.617,0.746,0.0871,0.336,0.0,-8.483,4.841
2lsPsjH5cqmOFHr5WiLcn7,Cazador,Barilari,heavy-metal,Energetic & Danceable,22,0.494,0.913,0.193,130.074,0.000108,0.0634,0.0651,3.82e-05,-3.794,3.956
2KuCkc6q4WHOXVzd4WpFJp,Eslayer Te Va a Matar,Los Antiguos,heavy-metal,Energetic & Danceable,22,0.223,0.99,0.364,153.482,2.41e-05,0.161,0.348,0.137,-4.948,4.409
24RHU19OMQSwIR93bUguNh,La Llorona,Mexican Music Factory;Felipe Gutierrez,guitar,Acoustic & Instrumental,22,0.816,0.324,0.677,164.794,0.567,0.169,0.0917,0.883,-11.807,2.687
4phSYiTTfGGYPBJCQl2O8B,Pure Paradise,Dan Gibson's Solitudes,new-age,Acoustic & Instrumental,22,0.0772,0.0444,0.0357,47.224,0.888,0.0403,0.521,0.906,-30.495,6.615
2jLxGO8FukajZNDvE0rmf4,Dancin (feat. Luvli) - Philip George Remix,Aaron Smith;Luvli;Philip George,chicago-house,Energetic & Danceable,22,0.711,0.551,0.634,124.001,0.0025,0.0515,0.0541,0.00089,-11.345,7.032
3fAtiRktRktPCwFO6101TI,Dèjate Ser - Remasterizado,Anabantha,goth,Energetic & Danceable,22,0.336,0.788,0.322,106.912,0.105,0.0361,0.143,0.101,-3.804,4.495
5cJ9qUDiryWituUEd9iN2J,"Unethical, Pt. 1",Jim Florentine;Don Jamieson,comedy,Acoustic & Mellow,22,0.701,0.704,0.5,132.24,0.986,0.925,0.207,0.0,-12.033,4.151
5sxkZAL60oABUviSzKKjQz,Secret Of The Blade - Brennan Heart & Sound Rush 2017 Remix,Brennan Heart;Blademasterz;Sound Rush,hardstyle,Instrumental,22,0.345,0.935,0.189,150.03,0.0216,0.0681,0.594,0.577,-5.613,3.762
7jz2qo4BCuPrb1wnsa48QL,DISRUPTION,Ricardo Moreno,hardstyle,Energetic & Danceable,22,0.498,0.917,0.308,160.287,0.00183,0.133,0.498,0.000578,-2.806,3.267
1oGe3ava1219qN4oDv8J24,Lullaby for Doris,August D. Valentine,guitar,Acoustic & Instrumental,22,0.661,0.0202,0.293,139.344,0.986,0.145,0.11,0.964,-21.832,2.392
0EldqcK34tKPphDkzlqolQ,Boom Bashing - Mizz Behave Remix,Dj Thera;Mizz Behave,hardstyle,Energetic & Danceable,22,0.466,0.898,0.213,100.048,0.0977,0.0485,0.145,0.00493,-4.162,2.983
47cvxNueYcxqMgn9qiF0eQ,Drunken Masta,Psyko Punkz;Dope D.O.D.,hardstyle,Energetic & Danceable,22,0.573,0.95,0.371,149.966,0.0214,0.0365,0.417,0.000304,-4.174,4.18
0r4uUHrWaWegN3DrGFZBw9,De Kroeg,Zanger Kafke,hardstyle,Energetic & Danceable,22,0.818,0.824,0.614,153.908,0.00927,0.348,0.187,0.0,-4.812,3.014
1ctzNIXPvcj8hfoW4fHy8Q,Hi'ilawe,Cindy Combs,guitar,Acoustic & Instrumental,22,0.364,0.307,0.674,134.97,0.909,0.0381,0.109,0.942,-17.603,2.808
3SAxjaygRSzTN7mCjagVA8,Never Happy Till I'm Full Of Sorrow,Blue Moon Rising,bluegrass,Acoustic & Mellow,22,0.62,0.544,0.845,147.964,0.865,0.0296,0.12,0.0143,-7.923,3.218
4U91o4lfaI4QbR331I6E5H,Rebelde y Solitario,Rata Blanca,heavy-metal,Instrumental,22,0.365,0.713,0.0388,117.921,3.11e-05,0.0333,0.0901,0.484,-7.226,6.184
5iry0oEhBjsLpqMwFAhW4v,Laa-Di-Fucking-Daa,Showtek,hardstyle,Energetic & Danceable,22,0.631,0.947,0.191,146.997,0.011,0.0606,0.0838,0.113,-5.14,6.267
54SdPrka36t9zUuzIgAHZX,In Your Face,Radical Redemption,hardstyle,Energetic & Danceable,22,0.761,0.935,0.492,94.997,0.012,0.138,0.114,0.0438,-3.704,2.084
6ZavrhYtp6T1nvrs94UHhw,Arrieros Somos - Remastered,Cuco Sánchez,guitar,Acoustic & Mellow,22,0.527,0.0724,0.316,137.327,0.884,0.0466,0.123,0.0,-11.67,2.486
5aWWkqDqVMGcYSI4MzEJqY,Ella / La Enorme Distancia / Que Te Vaya Bonito / Vámonos,Los Poetas De La Guitarra,guitar,Acoustic & Instrumental,22,0.454,0.328,0.451,139.757,0.871,0.0337,0.117,0.85,-6.089,5.15
2ggLxejiY4aIzf7FmZDTTj,Cielo Rojo / Cruz De Olvido,Los Poetas De La Guitarra,guitar,Acoustic & Instrumental,22,0.511,0.33,0.259,196.045,0.609,0.0585,0.0982,0.846,-7.122,2.837
1KeYXMOAIC8gVYjAAqRYBv,La Barca de Oro,Antonio Bribiesca,guitar,Acoustic & Instrumental,22,0.426,0.0506,0.228,82.718,0.976,0.0643,0.117,0.935,-24.588,3.674
5PPtkjSUa8yf29I0SZBz7u,Scheveningen - Charly Lownoise Remix,De Kraaien;Charly Lownoise,hardstyle,Energetic & Danceable,22,0.345,0.947,0.0625,159.818,0.117,0.13,0.25,0.00106,-4.1,3.717
7MU5rdfUafbXfp7WVhSkx3,Sta Hronia Tis Ipomonis,George Dalaras,guitar,Acoustic & Mellow,22,0.572,0.619,0.842,177.644,0.709,0.0337,0.196,0.0,-5.841,2.926
6VKI6mNJ4IP4Z40770zeXu,Melancholia [Mix Cut] - Original Mix,Wasted Penguinz,hardstyle,Energetic & Danceable,22,0.543,0.899,0.169,151.618,0.161,0.0477,0.577,0.000423,-7.116,4.168
2tBkJ9gVFDvep2PcbjnmsU,Hardcore Heartbreak,Dither;Lil Texas,idm,Energetic & Danceable,22,0.678,0.985,0.0666,100.01,0.0654,0.138,0.22,0.0078,-0.978,2.96
52Y0rO7U3LoXL3ydMzW3N9,Noodling,Kathleen Madigan,comedy,Acoustic & Mellow,22,0.511,0.864,0.407,137.176,0.782,0.658,0.81,0.0,-6.954,3.441
